signature (qtm),vertices,edges (qtm),diameter (qtm),example antipodes (qtm),radius (qtm),example center (qtm),diameter (htm),example antipodes (htm),radius (htm),example center (htm)
0x1082308421C421,904,1440,46,0xc1340405d820 => 0x8ab20409a220,23,0x108036040d8031,35,0x8ab00429c220 => 0xc2348401d820,18,0x10c23084218421
0x71920080007F,904,1224,71,0x10701300800fe0 => 0x41893008005ad,36,0xa2192100005ad,56,0x10701300800b5a => 0x6009310004fe0,28,0x22192100005bd
0x80800420,900,2574,11,0x10080208 => 0x8000088040,8,0x400100800008,9,0x110004008 => 0x80804040,6,0x100100800008
0x187A00C21,900,1500,35,0x1c005bc0040 => 0x114005a80023,19,0x4985a00c20,23,0xd0005aa000c => 0x114005a80023,13,0x18005be0020
0x100C00808C043D,898,1232,45,0x18018880800bc4 => 0x4091001c482d,29,0x200393000000de,35,0x18018880800bc4 => 0x20431100004c2d,23,0x200393000000de
0x800080200C2D,896,1664,22,0x40c000028005a => 0x40c000048002d,14,0x610010040005a,15,0x8d0000002b40 => 0x31001000025a0,9,0x10c008020002d
0x108430842FC421,896,1500,35,0x20c33504079820 => 0x20c7310427c020,21,0x10c3b686018420,25,0x10c431043bc820 => 0x10c3b484039820,14,0x10c430840fe420
0x1084008FEC0420,896,1372,22,0x308008fec0440 => 0x450010ff80820,16,0x2103810fe00840,15,0x2113010fe00220 => 0x220008fec0441,12,0x1101808fe00421
0x100780802005AD,896,1248,40,0x100384800045ad => 0x1010050018087f,24,0x5000804c047f,33,0x40850018087f => 0x20038500001b5a,20,0x200001005c087f
0x10040087AC0461,895,1286,45,0x8100107bc0860 => 0x2400087bc0460,23,0x20070107a00861,33,0x18080107b80860 => 0x2400087bc0460,17,0x10078087a00061
0x100400B7A00411,894,1548,22,0x200400f5a00890 => 0x20408f5a00801,13,0x80000b5b24401,16,0x100800b7b00404 => 0x180800f5a00202,11,0x100648b5a00010
0x13FE0080402D,892,1192,72,0x2008e10084bb44 => 0x200862104c90da,36,0x20ff010400b42,60,0x22186000c8905e => 0x2008e10084bb44,30,0x30107f0080003d
0x108000840D8423,891,1614,24,0x11118084018c20 => 0x10218084018c22,14,0x108008840dc420,16,0x21138104058020 => 0x4080304199820,10,0x8c000840d9420
0x1033EC8180005E,890,1232,30,0x2073251300062d => 0x1021ee8110845a,18,0x2023b70300085e,25,0x2073251300045e => 0x2023ef0100845a,17,0x1063b48300043d
0x10040180600C01,888,1824,32,0x20d0000680202 => 0x1180007c0010,17,0xa400180600801,23,0x8000d80007080 => 0x20400580002c04,12,0x20000780006c00
0x210801FC600C42,888,1776,52,0x311001fc600444 => 0x20c001fc600c30,26,0xe000dfc007040,32,0x44401fc60088c => 0x186001fc600444,16,0xe0c01fc600420
0x108000B46005A1,888,1720,30,0x10400b460045a => 0x8800b460082d,16,0x40800b46005a2,20,0x1000cb40035a0 => 0x8200b460082d,11,0x40800b46005a2
0x1005808000042D,888,1610,16,0x1001808000482d => 0x2203010000045a,10,0x1009808000042d,12,0x2003010000145a => 0x180180800000da,8,0x400800c043d
0x108401841DCC21,886,1346,63,0x20838904198831 => 0x30c38184019822,32,0x7001841dcc21,54,0x20338104199822 => 0x202309041d9830,27,0x107180840dc421
0x202B4127000,884,1608,50,0x100202b4521000 => 0x242b4501002,36,0x240b4200c03,30,0x202b6103080 => 0x244b4100403,22,0x240b4200c03
0x108600B4700421,884,1580,47,0x108e00b4600114 => 0xa2000b4700423,24,0x6000eb4003380,34,0x45000b4700423 => 0x10820cb4003c20,18,0x60c00b4600382
