signature (qtm),vertices,edges (qtm),diameter (qtm),example antipodes (qtm),radius (qtm),example center (qtm),diameter (htm),example antipodes (htm),radius (htm),example center (htm)
0x10840080200C21,92176,154272,47,0x4088100200c44 => 0x88c0100204408,28,0xe400100200842,36,0x8890200003440 => 0x3050800006820,21,0xc000080400c46
0x10840084220C21,89904,145744,54,0x306000c4204820 => 0x208008c4200c18,31,0x10864084200184,38,0x88c0086002380 => 0x8f8004421100,24,0x2300084224421
0x10840080800423,85960,141952,49,0x11080310000c08 => 0x26200808000c4,29,0x210c0100009840,37,0x1030a00108408 => 0x10221000185040,22,0x210003100018c0
0x10840080200421,84584,153594,32,0x4080280400830 => 0x1070000401220,19,0x10840080200421,25,0x810600100444 => 0x18200100204300,14,0x10840080200421
0x10840084220421,80160,138132,37,0x20884084300044 => 0x20c000c4401820,20,0x108400c4200421,25,0x888106200106 => 0x3000884220822,15,0x10844084200421
0x10041080200421,74044,132758,36,0x10180110204040 => 0x51800102110,19,0x20001f00000840,25,0x20440100806100 => 0x450010204208,15,0x10001080007440
0x3DE00000C00,71040,111000,51,0x5a80006604 => 0x18100c4008c200,33,0x20401302003410,40,0x104210005e1000 => 0x61880220083,26,0x430412101090
0x21008100400846,69296,116240,35,0x8980002048c0 => 0x1070000401620,22,0x108600000c3040,27,0x8184000048c1 => 0x1070000401620,16,0x21080280400421
0x3DA00000C08,67472,105640,52,0x30184100840022 => 0x10124000880298,32,0x20401302000c21,40,0x805080006d008 => 0x2054810004288,25,0x10104880800c42
0x3F400000C08,66156,111492,46,0x1e400940102 => 0x16610005808,28,0x20002d0082400c,36,0x2000b0022c0041 => 0x2002702009110,21,0x200c7100200021
0x10800084220421,62864,114096,35,0x20804084300044 => 0x20c000c4401020,21,0xc00086200031,24,0x20804084300044 => 0x44400c4401020,15,0x10840086200408
0x39E00000420,60536,101688,38,0x10180110204440 => 0x51800103110,21,0x30000449842,26,0x20448100408440 => 0x18001480101022,16,0x20009f00000840
0x10840080000423,59884,103216,40,0x2020020008028c => 0x311000800010c0,24,0x33080000400c,30,0x30c00100004220 => 0x8800900000311,18,0x8d8000000421
0x3DA00000C00,58122,92596,48,0x204490020c1000 => 0x104210001a1002,30,0x10500102800c10,37,0x30084280108010 => 0x18202048811,23,0x1002488000d400
0x3FE00000C08,57652,89524,58,0x2000f500041830 => 0x578003040c1,37,0xfe000408842,44,0x220c6010581040 => 0x819a000568100,27,0x3fe0000008c
0x10800080200C21,56120,101384,34,0x30800100002444 => 0x308002004c0008,22,0x300000580023,26,0x40e00800020c0 => 0x8c000002840c0,16,0x10840080200310
0x100C0080800421,55578,95256,42,0x2040100008028c => 0x18800940102,25,0x8419000000421,30,0x11800001c30 => 0x2420080800c08,18,0x10100080800423
0x10800080200421,54368,108328,29,0x10200300400041 => 0x208100200222,19,0x10800080200301,23,0x4000900200444 => 0x8104000040c1,15,0x23000100400021
0x3FE00000420,53688,88072,36,0x201660004c041 => 0x11e400109440,20,0x3fe00000042,25,0x2096210006104 => 0x57800103110,15,0x3fe00000021
0x29E00100420,53448,84780,50,0x2010840014c100 => 0x22500400840110,29,0x61000304421,39,0x8041800146040 => 0x180c1000204440,23,0x2100c00049300
0x39E00000400,52536,91536,34,0x20008800288011 => 0x451000244800,20,0x22000d10000804,25,0x8018800802410 => 0x18001480101002,15,0x20000005c9002
0x10040080200421,51512,99032,31,0x20440080500100 => 0x488000820c0,18,0x18e00000021,23,0x20440080401100 => 0x8008100200106,14,0x500100200421
0x10002800C1C,50820,88984,42,0x20200828000c4 => 0x25080104044,24,0x10104080800184,28,0xd0050000106 => 0x221000c000c008,17,0x3c000049008
0x10001080200421,47064,91172,33,0x8100110204040 => 0x8051000002110,18,0x91000400842,23,0x8001100200444 => 0x4014000810c0,14,0x10100080c00042
0x39A00000420,45708,79632,36,0x18080300008041 => 0x51800101110,21,0x39200000418,25,0x1800030000c041 => 0x8051800100022,15,0x22000100049018
0x10040080800421,45558,87252,32,0x22040080900040 => 0x1800030000c040,18,0x3920000000c,23,0x421080004840 => 0x2090000844008,14,0x20001900040840
0x2DA00000C00,40152,66256,37,0x20810024881 => 0x18400040048810,24,0x2100010125080,29,0x10124010000083 => 0x2044800800203,19,0x10c800840014
0x38000000C1C,36924,60424,45,0x22000280000c44 => 0x18000900000c30,25,0x418000000631,33,0x1800090000088c => 0x420080004c41,20,0x13880004000c
0x2DA00000400,34976,64672,31,0x8041800021800 => 0x2000420000c201,17,0x2400212000090,23,0x8180012001400 => 0x100a1000060004,14,0x8100040840204
0x10840084238C21,34812,55584,62,0x8800c84038823 => 0xc30004238c22,34,0x3048040df020,43,0x3000c44098223 => 0x8800c84038823,26,0x88008c401e620
0x10040080200C01,32576,59744,30,0x10080300003010 => 0x2020480004c00,19,0xa0004000c0210,23,0x190000200203 => 0x2180100002600,14,0x40080007c00
0x10840084238421,31848,53720,36,0x23000884238022 => 0x2080c20409a030,20,0x10000041ff020,25,0x111000407b820 => 0xc0024409e220,15,0x10000041ff020
0x20008100000846,30976,57176,33,0x8050800101008 => 0x2450000004208,18,0x78000000821,24,0x18000200084041 => 0x2440080001102,14,0x10080080005420
0x100C0080000421,30752,56192,31,0x410000004c41 => 0x22000280000c08,19,0x10020080100421,23,0x8000300041022 => 0x2080280101040,15,0x10080080000c22
0x2800C1C,28574,54384,29,0x100c1040000110 => 0x2180010020408,19,0x20010120181,22,0x60002940100 => 0x49002040208,14,0x2024810100100
0x3DE00000401,28096,43928,36,0x18001c80121002 => 0x2000c800388011,21,0x10081280520402,29,0x471000264800 => 0x100c50081282,16,0x8118040806204
0x10040080200401,27152,57412,24,0x2400080401010 => 0x2090000002014,13,0x10080080400402,20,0x10400400080280 => 0x100900200204,11,0x20040100200801
0x10000080800423,26790,50082,29,0xc10000800c2 => 0xc10800000c1,19,0x10008080021c,21,0x8401100040104 => 0x100e0000880020,14,0xc000088001c
0x10000080200421,26464,57484,24,0x2030000204008 => 0x8100100240100,15,0x30600000808,20,0xa010000002030 => 0x8100100204008,12,0x198000400040
0x39E00000401,26020,41696,36,0x8018800902404 => 0x471000244800,20,0x20089300400802,27,0x20000880308411 => 0x2050810103010,15,0x20180100c00806
0x807084200631,25892,42832,48,0x80f504041030 => 0x30887004280030,28,0x8ff004200020,37,0x823884220c08 => 0x833406100441,22,0x10827084102420
0x800084220421,25384,49056,28,0x4084204082020 => 0x20c00084420100,17,0xc00106200030,21,0x1000844280022 => 0x20c00084420100,13,0x200084324020
0x10800084238421,25160,44560,36,0x1120084238820 => 0x88420409a220,21,0xc00008601b420,24,0x88400429c220 => 0x1110004278820,15,0x1100008423c420
0x3800000001C,24650,52104,27,0x20040080004208 => 0x10080100001088,15,0x50008000001c,20,0x18000200084040 => 0x8050000100022,12,0x1000008000041c
0x39E00000421,23916,37744,38,0x100214000c5208 => 0x22040080d00441,21,0x39e00000422,27,0x22040080d00418 => 0x105204008c0208,16,0x1b8000c00302
0x1084008020043D,23768,38352,36,0x11000d0004003d => 0x2080068010005e,21,0x20840100200bc1,27,0x620080400bc1 => 0x898200002bc0,16,0x108800804007a2
0x39E00000C01,23676,35168,54,0x8019800006604 => 0x18100c000cc200,34,0x200c00001cf000,44,0x39800002614 => 0x18100c000cc200,26,0xa450010200281
0x20001300000018,23620,50610,27,0x12800040c0 => 0x410000800c2,15,0x20000100800842,20,0x410000800c2 => 0x12800040c0,12,0x419200000008
0x21088100400C46,23504,34336,57,0x310002005c0031 => 0x308008003c0046,36,0x23180100400846,45,0xc78000204c40 => 0x111a0080501420,28,0x207000003c0023
0x10840084218C21,22514,36568,51,0x818404058831 => 0xc30004218c22,29,0x10c0008401b230,37,0x1104088401e220 => 0x11060004398030,21,0x31000084318421
0x2DA00000401,22176,36592,32,0x2010c00010c001 => 0x8c200108410,19,0x8100040844204,24,0x2440040804880 => 0x208400010c401,15,0x8108000924004
0x39E00000C21,22128,32720,62,0x20009d00041830 => 0xb1200441222,38,0x22080100c008c6,47,0x8198000c00c0c => 0x22400710000183,30,0xa080110400383
0x138000800846,22076,35376,37,0x51800141110 => 0x10180110004441,20,0x1b8000800842,27,0x1800020018c041 => 0x246000008d008,16,0x1b800080001c
0x1084008020042D,21824,37968,33,0x2009002007a2 => 0x200280400bc1,20,0x2220010020085a,24,0x400810020062d => 0x402008040083d,14,0x404010020083d
0x10847084200631,21782,33464,74,0x308870043c0030 => 0x208c7084007220,42,0x8bf004400c42,53,0x20847884204221 => 0x2088f104240830,32,0x10823684025420
0x29E00100421,21426,31584,53,0x46800020cc40 => 0x20449000046820,33,0xa040010400383,43,0xa0c0010300418 => 0x469000006c20,26,0xa040010200631
0x10840084338421,21288,34240,36,0x8ac20409a220 => 0x11a0084238822,21,0x8400061db030,28,0x80c904218431 => 0x824284418621,16,0xc000041ff020
0x108400842E0421,21126,34848,34,0x20c004861c0440 => 0x88801063c0820,20,0xe0000c42c0620,25,0x10838c84020808 => 0x88801063c0820,15,0x8400843e4420
0x2DA00000C01,21040,31744,48,0xa440002009202 => 0x28800920406,29,0x2da00000211,37,0x22400250005800 => 0x20000a50001890,22,0x8409202000414
0x800084220C21,20856,36400,34,0xa600084420100 => 0xc500104220008,22,0x82408420008c,23,0x202040842000c4 => 0x3000284421100,16,0x830004320021
0x38A00000C00,20816,36004,31,0x2470000140000 => 0x1280000c0202,20,0x300002001c0001,24,0x18000900000086 => 0x22000280000086,15,0x300800001c1000
0x3F6000005A0,20796,31696,32,0xb4020810da => 0x168101025b0,20,0x6d0080085e,23,0x1641000462d => 0x12248082082d,15,0x37e0000005a
0x10840084038423,20794,33368,46,0x898006019c20 => 0xc30004038c22,28,0x1080028403d420,37,0x1060086018c21 => 0x2020c0040dd020,22,0x83480405d020
0x10840084218421,20034,34869,36,0x3000884218822 => 0x2080880409a030,19,0x800e041d8020,24,0xc0020409e220 => 0x111000405b820,14,0x8000041df020
0x700002800C3D,19884,30160,59,0x18c0021002042d => 0x8c480008205a1,35,0x108c004080085e,46,0x8680029005a1 => 0x1082021210042d,27,0x3080000092442d
0x50008280043D,19684,31168,33,0x7100006082d => 0xb001200062d,19,0x2040130200085a,25,0x2008c10000845a => 0x81282000bc1,15,0x2040130200085a
0x10840080200C61,19676,34952,52,0x3010400005c60 => 0xc10400140063,30,0x21080080400c62,37,0x8810400005c60 => 0x1128400080063,21,0x31180080400062
0x10079080200421,19360,30800,37,0x100214800c4608 => 0x22040080cc0441,20,0x20039f00000840,26,0x22400080dc0408 => 0x104004808c4608,15,0x20039f00000840
0x20088100000846,18998,31304,35,0x10180100004301 => 0x220408000c0022,19,0x38000005380,26,0x20440080001182 => 0x10180100004301,14,0x38000005380
0x10840080200C2D,18736,30144,41,0x4020080400c3d => 0x2009002007a3,24,0xc000080400bc6,32,0x22088030005e => 0x3100080038002d,18,0x30840100200b41
0x10840086200C2D,18722,29072,57,0x3080408450005e => 0x8c4104204bc0,32,0xe1000c420042d,42,0x108843040035a0 => 0x3080408450005e,24,0x23000c42007a1
0x100400F4200421,18718,32246,33,0x204400f4401020 => 0x204400b4420021,18,0xa0000f4200380,23,0x224000b4520100 => 0x180800b6300100,14,0x100440b4200421
0x108400843E0421,18710,29508,35,0x110780862000c1 => 0x208b8106200222,21,0x10c58086200181,25,0x203040841c6420 => 0x10800d041e080c,16,0x1087c084200031
0x200C8100000846,18700,27904,53,0x22000a80100023 => 0x305001000040c1,30,0x438200000390,42,0x30500100004221 => 0x305000800010c2,24,0x38a00000384
0x3FE000005A0,18332,27116,32,0x17a00042b44 => 0x2f40008422d,19,0x3fe0000002d,24,0x630804215a2 => 0x1002388022082d,14,0x3fe000005a0
0x10840080200461,18116,32488,44,0x8850000400198 => 0x22200080204308,24,0x10000001c7060,33,0x3040080204308 => 0x1038000401118,17,0x10000001c7060
0x10800080200021,18104,40308,21,0x3010000002104 => 0x4400400080220,14,0x4080080400044,16,0x2210000002044 => 0x4020480004008,10,0x21000080400021
0x10059080200421,18030,30720,33,0x22430500840100 => 0x20430110400608,19,0x20039700000300,25,0x20430110400608 => 0x22430500840100,14,0x20031f000000c0
0x250008280043D,17938,26272,70,0x1012408010905a => 0x205480004cb40,39,0xfd0000007a0,57,0x80112001205a3 => 0x205480004cb40,32,0xfd0000007a0
0x50008280003D,17916,29844,32,0x9400010845a => 0x500408008da,19,0x3d20000005a,24,0x9001200062d => 0x6108002082d,14,0x1d20000005e
0x10079080300421,17726,26152,71,0x808130058088c => 0x220c0080dc0420,39,0x2180100d8081c,55,0x184004800cc608 => 0x18018c80800303,31,0x300001101878c0
0x3FE00000421,17656,27496,33,0x2032e00068808 => 0x11e40010d440,20,0x43b602000418,26,0x105224028c0208 => 0x2208610024c041,16,0xbf000007180
0x21101308C00C42,17060,23552,61,0x40c0108c09446 => 0x11181308c00103,38,0x10800088c09c46,47,0x110003184498c0 => 0x4509208cc0042,28,0x21080108c09314
0x29A00000400,16680,33656,24,0x20040800008410 => 0x10401000004801,14,0xa080010000280,19,0x460010000402 => 0x20040800008410,11,0x409200100080
0x100D9080200421,16634,25920,47,0x30401100380844 => 0x10078080802c40,28,0x20038100448842,39,0x304010800c2444 => 0x20439100240044,22,0x20039100200c21
0x250008280003D,16422,24752,46,0x5900044b41 => 0x152001015a2,28,0x390001245a0,35,0x20049100045a1 => 0x80012c0001b42,21,0x134000800bc4
0x10840084218631,16330,24956,61,0x6000304458823 => 0x818604019622,35,0xe0000042d8231,48,0x30800704058031 => 0x818604019622,26,0x108400042d8231
0x1004008020043D,16276,27172,32,0x10180100240b40 => 0x202008040083d,19,0x1008008040062d,24,0x20200804008da => 0x800810020062d,14,0x7800020085a
0x10840084138423,16234,25124,66,0x306000440d9022 => 0x8800a84038823,39,0x108e0084038422,54,0x4420286118421 => 0x8c400440d9022,29,0x308400041fc020
0x100400803C0421,16220,26692,32,0x22000900380822 => 0x180002804c0441,18,0x10018e80000421,24,0x22040900182820 => 0x180002804c0441,14,0xf001c0842
0x700083800C3D,15904,24016,77,0x2310041840b46 => 0x86100131005b1,44,0x85c80184003d,60,0x8210a510047a0 => 0x223420114805a,34,0xe10010380085e
0x3FE00000C21,15704,23136,76,0x2000fd00041830 => 0x10027680104444,45,0x1fe000008c6,53,0x300078001c3030 => 0x2036610005888,36,0x1002768010041c
0x10840084318421,15608,25344,36,0x23000884218822 => 0x20808a0409a030,20,0xe040084218421,26,0x230008042d8022 => 0x11a008401b820,16,0x203000041db020
0x1080200421,15496,33144,24,0x2400080408008 => 0x400400880220,14,0x11200400840,20,0x8100100208100 => 0x30010204008,12,0x39400000040
0x100400F4200621,15200,24896,34,0x81800b6300110 => 0x204400f4401022,19,0xa0008f4002380,25,0x81800b6300110 => 0x224000f4401820,15,0x100400f4200382
0x500002800C3D,15156,23048,50,0x25800044b41 => 0xd20004482d,29,0x3008004080045e,38,0x22104800800b41 => 0x8049002000c2d,23,0xa0000500007a3
0x700000800C3D,14944,22280,59,0x186010001045a0 => 0xc44100010402d,31,0x2030800084005e,45,0x186010001045a0 => 0x446100010003d,25,0xe4002100005a1
0x3FE0010002D,14772,20016,79,0x2200661018105a => 0x18003c400c402d,48,0x840b60208003d,63,0x770000037b0 => 0x9f000006bc4,38,0x7f000008de
0x10800080200023,14656,28704,27,0x4000480100043 => 0x30800200480008,18,0x20800900006040,20,0x808300401100 => 0x4000300441020,13,0x800080401c40
0x18001004008C6,14608,27596,43,0x18d0000102044 => 0x318004000840c0,23,0x6200100200390,29,0x31800800082220 => 0x18e0000082030,16,0x11840080200043
0x10041080200C61,14586,25236,59,0x841001030011c => 0x8400480804388,33,0x39c00000063,47,0x30400500840061 => 0x8010610001462,24,0x20081300400c60
0x840180200421,14432,27752,40,0x818000581008 => 0x2302004c0020,22,0x10800580001840,29,0x303000048000c => 0x3100005800c0,16,0x10840180400180
0x800084218631,14386,24960,43,0x3000884218023 => 0x8800484018823,24,0x8600104418822,28,0x320084519020 => 0x880088421c820,17,0x8408042dc020
0x10840080800463,14340,24280,55,0x31040910000062 => 0xa300880800118,30,0x700000980063,43,0x3020130000030c => 0x3130000800861,23,0x21080100009318
0x10040080000403,13976,28016,21,0x8048100040002 => 0x2400280001200,14,0x100080000c06,18,0x8000280001090 => 0x2000900004204,12,0x2500000181000
0x39A000005A0,13708,22664,34,0x409008007a2 => 0x80009008005b1,17,0x2010010080085e,23,0x53001000402d => 0x800090080083d,14,0x1012008080005e
0x39A000045A0,13602,20268,51,0x8041100000c3d => 0x18000300008b43,29,0x39a000045a0,41,0x8008900800c5a => 0x1800090000cb41,23,0x39a000045a0
0x29A00000C01,13592,20768,45,0x28200048811 => 0xa180000804081,26,0x20009a00104004,36,0x10041800001290 => 0x10041800044204,21,0x20409200105000
0x10800084218421,13540,25480,33,0xc08104418420 => 0x3000884218022,19,0x30008401e420,23,0x3000404099022 => 0x1112000409a020,14,0x8800084218620
0x10840080000463,13172,23480,47,0xc08200080063 => 0x230090004010c,27,0x20700100000063,35,0x3020030000030c => 0x30200880000198,20,0x70008000038c
0x108400B4000423,13152,21424,47,0x302000b4004821 => 0x208408b4000c08,26,0x18c000b4000181,33,0x311000b40010c0 => 0x30002b4000186,20,0x60600b4100420
0x29A00000401,12984,22456,30,0x8040800800890 => 0xa020000c600,17,0xa080010000282,23,0x460010000206 => 0x20048800108010,13,0x22080010000882
0x100408C42,12964,24360,29,0x70010500020 => 0xd0000508008,18,0x19000400023,22,0xa400080408008 => 0x8010010002230,13,0x51000009c
0x10040080200C61,12928,23008,47,0x250050004010c => 0xa110000401188,28,0x200008030019c,31,0x2030600005108 => 0x8450000200462,19,0x10080080400463
0x10840084018423,12647,20900,42,0x8800284018823 => 0xc18004018c22,25,0x18c40084018021,31,0x4020284018231 => 0x3100004099222,18,0x31080084018421
0x8580062C0021,12552,21892,50,0x11040184220c08 => 0x30204184200441,28,0x8980444c0022,35,0x304184200223 => 0x8c4184200106,19,0x8180040e7020
0x10800084038423,12498,20716,41,0x1060086018c20 => 0x2020c0040dc020,24,0x8c400041b8020,34,0x1060086018c20 => 0x3020408411c020,19,0x8600044099220
0x2800C14,12480,26224,22,0x4a0000c200 => 0x2c000108010,14,0x25a00100000,17,0x41000020c02 => 0x20040040800c00,10,0x24a00009000
0x1003DE80000401,12332,18640,36,0x20471100260801 => 0x18019a80022404,21,0x100b9080027400,29,0x105204828c0600 => 0x18018082902414,16,0x20079100224801
0x100000F4200421,12172,22146,30,0x100800b6300100 => 0x24000f4401020,18,0x80000f4007100,21,0x100800b6300100 => 0x24000f4401020,13,0x24eb4000020
0x3F400000C60,12144,20744,52,0x1a240408318 => 0x30006100c40860,35,0x3f40000018c,36,0x4f900042060 => 0x1601030418c,24,0x3f400000063
0x100400802C0421,12116,22082,29,0x10118480101040 => 0x20430500044020,17,0x10038680000018,20,0x18018480004041 => 0x202800c2444,12,0x200b8100400042
0x10000080000C21,12102,25168,20,0xd0000104100 => 0x2000900004104,14,0x20800180044,17,0x8010200001030 => 0x2010800004044,11,0x2000018001c
0x39E00000060,11801,20842,54,0x8050010401460 => 0x10400500840061,27,0x19600000461,44,0x8050010401460 => 0x410400840861,22,0x20500500800061
0x1004008020042D,11764,21512,27,0x5004000800da => 0x4081002005a2,16,0xf0000085a,21,0x8100100240b40 => 0xa010000002b44,13,0x10000c800007a0
0x21080380401842,11760,19632,58,0xa200180401c18 => 0x30300980200288,38,0x30800780000381,43,0x23180180401440 => 0x30600380400288,29,0x1038e00180042
0x20080180C00802,11728,21463,44,0x401180400881 => 0x22000980208002,24,0x180180c00006,32,0x10000380408810 => 0x2440180408010,18,0x10100180c00404
0x376000005A0,11676,18612,30,0x650000cb41 => 0x1300026082d,18,0x17400000bc2,22,0x7100042b44 => 0x1000250086002d,13,0x1740000085e
0x108000842E0421,11670,20260,32,0x208040842c0444 => 0x8880106380820,18,0x188180c420000c,22,0x102180c4200830 => 0x10800d041a0808,13,0x1081c084200421
0x100400F4200C01,11668,18816,41,0x301000f4204800 => 0x221000f4204004,25,0x21000b4324400,31,0x184004b4020404 => 0x101040b4002610,19,0x100408f4200084
0x10040084218631,11630,17424,58,0x108104419c22 => 0x18604019622,33,0x300400043d8021,44,0x18604058831 => 0x208030405b820,24,0x100c008401f420
0x10041080208401,11592,21199,44,0x18100010c80010 => 0x2440110802200,22,0x20081100408802,30,0x10180010c80010 => 0x22040110802200,15,0x20081100408802
0x10041180200421,11592,20124,52,0x458000588040 => 0x10401580004820,28,0x180180c00842,42,0x10401580004820 => 0x458000588040,21,0x20001f80000041
0x100400B4200631,11589,17968,58,0x101200b420088c => 0x101008b4002630,31,0x84400b4200621,47,0x101008b4002630 => 0x101200b420088c,25,0x21000b4107420
0x10040084218421,11396,20434,34,0x1a0084218820 => 0xa020409a220,17,0x400043d8021,24,0x101a0004298020 => 0x20204498221,14,0x208040db020
0x21080100440862,11368,19008,47,0x418008030011c => 0x22200080204388,28,0x7000001c6060,36,0x87800020410c => 0x10b8000401118,21,0x18840880200308
0x10000080200401,11360,28208,20,0x400400080201 => 0x900200204,12,0x70000200080,16,0x8010000002410 => 0x2010000002804,10,0x400080300010
0x23A401000C1C,11305,17624,49,0x2202f01000630 => 0x2060a701044020,31,0x18702481000620,40,0x30702401181040 => 0x307024010c4020,25,0x222e010c1018
0x840184220421,11278,20016,48,0x18880184220008 => 0x204184200622,26,0x10800186200421,35,0x11300042e0020 => 0x81c004380044,19,0x8500042a4021
0x3F600000060,11248,19544,48,0x4024c0800861 => 0x8012012200462,29,0x20007d00000188,35,0x8012012200462 => 0x2012040c00861,20,0x136c00800108
0x10840186200421,11230,19326,52,0x11b00042e0020 => 0x81c004380046,27,0x10840186200421,41,0x81c004380046 => 0x11b00042e0020,21,0x8850044280221
0x3FE00000060,11184,19394,54,0x10402502840061 => 0x8052050401460,28,0x3fe00000060,45,0x2092250002860 => 0x20106110401118,23,0x3fe00000060
0x108400800005A3,11138,18064,37,0x40880000800de => 0x1100880000b43,22,0x3084008000003d,29,0x200a800047a0 => 0x2300900001b40,17,0x86000800007a1
0x100400B4200421,10933,19751,31,0x204400b4401020 => 0x100800b4300110,17,0x10000eb4000420,22,0x181000b4204040 => 0x204400b4401020,13,0x100408b420000c
0x108400800C0423,10884,17672,39,0x820810018088c => 0x18618080100088,23,0x10238280001408,29,0x10898080001c08 => 0x200a800c0630,18,0x202003001c1808
0x10040000000421,10800,25988,19,0x8088000001008 => 0x2060000004008,12,0x120800000044,16,0x22000800001020 => 0x8088000001008,9,0x20200000421
0x10040084318421,10768,17584,36,0x22000884218822 => 0x20008a0409a030,20,0x18040084218421,26,0x101a000409b020 => 0x220408040da020,15,0x10060084218421
0x1003DA80000401,10664,16464,34,0x2003c30000c201 => 0x104210800e1402,20,0x20530102840014,26,0x200842801c8410 => 0x10439080021802,16,0x80400809e4404
0x182800C1C,10594,18800,44,0x180c0180820020 => 0x15200181088,26,0x180029c0021,30,0x114810085040 => 0xf80008a0020,18,0x3000018280001c
0x100400B4200621,10559,17622,33,0x204400b4401022 => 0x81800b4300110,18,0x104400b4200421,23,0x24400b4401022 => 0x24400b4401180,14,0x100400b4204421
0x10800080800463,10490,18462,52,0x10d0010001062 => 0x8601080100118,28,0x21080000880063,35,0x1010800840063 => 0x201900040318,19,0xe000100800063
0x10000080000421,10484,25920,18,0x8010000001030 => 0x8008100001008,12,0x10010000080c,16,0x1008000800c0 => 0x100880100100,10,0x100100040044
0x10040080800463,10436,18416,44,0xa100880800118 => 0x8000900800398,26,0x39000000398,33,0x2190000800861 => 0x3004091000010c,19,0x20009300000c60
0x108400842F8421,10382,17576,33,0x1107808601a820 => 0x2080c10419a830,19,0x108000c40df420,24,0x2083c10401a430 => 0x2030c10419a820,14,0x6000843f8421
0x100F208000842,10306,18236,27,0x1046018001822 => 0x100e008108418,16,0x10af008000042,20,0x10a6008840820 => 0x1007808001620,12,0x1106008800846
0x10039E80000401,10300,15676,36,0x20471100244800 => 0x18018880902404,20,0x200b0100449802,28,0x105204808c0600 => 0x18018880902404,16,0x100b9280400402
0x800084238421,10292,19312,27,0x1000844298022 => 0x2020c00409a020,16,0x1084400409a020,19,0x408420409a020 => 0x1010006258820,12,0x210000040be020
0x10101280800421,10283,18462,28,0x18100110048088 => 0x101a80900104,17,0x20001100498c0,20,0x20490100800c2 => 0x121200884220,13,0x100000009c900c
0x23A40100041C,10254,17144,29,0x2202d01040114 => 0x62a4010810c0,17,0x10602681000421,22,0x2030a401080098 => 0x1022240108420c,13,0x20202f01000842
0x100400803C0401,10120,17488,26,0x22030300042010 => 0x20130100200602,16,0x100002805c0402,18,0x204800c4604 => 0x224000805c0400,12,0x20030d00041800
0x1003DA80000421,10104,15296,34,0x104580c0800898 => 0x101841009c0822,20,0x2003db00000818,24,0x101801101a480c => 0x204410821c0441,15,0x180192c000060c
0x10101280800C21,10090,15940,37,0x10181300800103 => 0xa009810084041,23,0x22089110000c20,29,0x5112009000c4 => 0xa009210080043,17,0x84001100488c2
0x1080008020042D,9904,18856,29,0x400028040082d => 0x400090020045a,17,0x40000802045a1,20,0x4000900200b44 => 0x400028040082d,12,0x8800804007a0
0x238A00000C60,9866,16772,50,0xc28200080063 => 0xa61000014010c,29,0x1884008000038c,39,0x228a00080063 => 0x18c00280000861,22,0x21180100000c62
0x10078080200C01,9792,14832,42,0x30100100384880 => 0x81085001c0802,26,0x10038880007400,35,0x22030900200610 => 0x221b0100042200,21,0x200f8100400801
0x10039E80000421,9780,14696,35,0x100214800c5608 => 0x22040080dc0441,21,0x20039f00000818,27,0x100214800c5608 => 0x22400080dc0441,16,0x180100dc081c
0x39600000060,9596,17552,42,0x2400500840108 => 0x8110010401108,24,0x39400000061,30,0x40150004010c => 0x8011000401188,17,0x10081080400460
0x28000000C14,9528,18024,19,0x30100000001880 => 0x20040000004884,15,0x20500000040003,17,0x8400000100406 => 0x20040000040211,12,0x8008200040202
0x41180200421,9500,17264,50,0x30400884220 => 0x22040180408008,26,0x11200580044,35,0x410400884220 => 0x22040180408008,18,0x20001f80000040
0x21080380001842,9466,15720,60,0x8d8000185008 => 0x218a00180043,37,0x830a001c0041,45,0x8d8000185008 => 0x10f00000c5008,29,0x218a000c001c
0x108400843F8421,9152,14744,35,0x2080c30419a830 => 0x11138084238822,19,0x10800e841f8420,24,0x21130104278822 => 0x110600862d8430,15,0x210400843f8421
0x20080180400846,9124,15624,46,0x588000830c0 => 0xb0200086220,26,0x20180180400302,35,0x5100002c0221 => 0x5100005800c2,20,0x10440180200031
0x108400842F8423,9014,14744,61,0x208b810601ac20 => 0x40202844f9422,33,0x210003041bf820,47,0x88800862d8630 => 0x23008c40da430,25,0x1085c88421c021
0x20080100440862,8940,15056,46,0xa090000200198 => 0xa05000040030c,25,0xb8000400462,38,0x10500500000198 => 0x2050048000030c,20,0x30e00000461
0x100C008000043D,8920,13760,41,0x206000008023d => 0xa45000010002d,24,0xf800000003d,33,0xa45000010002d => 0xa19000004005a,19,0x4200001c105a
0x10840085AE0421,8888,13304,34,0x11038087a000c1 => 0x8880107bc0820,21,0x10c18087a00421,25,0x20838107a00608 => 0x4180107bc0820,16,0x11098087a00421
0x10800086200C2D,8856,14176,43,0x81840406082d => 0x8106040215a2,25,0x8c006860005a0,32,0x8106040215a2 => 0x820484020c2d,18,0x8000c42007b1
0x1004008000043D,8778,15424,28,0x204090000045a => 0x808028000082d,16,0x1004008010042d,20,0x2204008000105a => 0x1810010000402d,12,0x47000000085a
0x10040180200C01,8664,16176,37,0x8080380003800 => 0xd0000581080,21,0x20080180400c02,29,0x2030200480003 => 0x8018800280003,16,0x20000f80000c00
0x13920080041C,8583,13244,32,0x18100110049288 => 0x209021014c088,19,0x10121280800446,24,0x18080110049288 => 0x209021014c088,15,0x44010084981c
